"Отметка времени","1. Вы работаете?","2. Вы путешествуете?","3. Где предпочитаете путешествовать: в пределах России или за границей?  (Если ответили ""да"" на предыдущий вопрос)","4. Приобретаете страховку при путешествиях?  (Если ответили ""да"" на 2 вопрос)","5. Что вас заставило задуматься о приобретении страховки? (Если ответили ""да"" на 4 вопрос)","6. Почему не приобретаете страховку при путешествиях? (Если ответили ""нет"" на 4 вопрос)","7. Что сподвигнуло бы вас на приобретение страхования во время путешествий? (Если ответили ""нет"" на 4 вопрос)","8. Если вы оформляли страховку у Сбер Страхования, какие были неудобства во время процесса ее оформления? Есть ли у вас пожелания к улучшению данного процесса?   (Если ответили ""да"" на 4 вопрос)"
"5/11/2024 18:13:41","Нет","Да","В пределах России","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:14:31","Да","Нет","В пределах России","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Сниженная цена ",""
"5/11/2024 18:16:32","Да","Нет","","","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Возврат части средств, в случае не наступления страховой ситуации",""
"5/11/2024 18:20:14","Нет","Нет","","","","Доверие удаче, Необходимость экономии денег","Сохранение средств ",""
"5/11/2024 18:21:28","Да","Нет","","","","","",""
"5/11/2024 18:23:32","Нет","Да","В пределах России","Нет","","Доверие удаче","",""
"5/11/2024 18:23:34","Да","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег","Долгий перелет, ценность багажа",""
"5/11/2024 18:24:20","Нет","Да","Оба варианта","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:27:52","Нет","Да","В пределах России","Нет","","Доверие удаче, Жаль потраченных деньги в случае не наступления страхового случая","Опасность местности, которую собираюсь посетить",""
"5/11/2024 18:32:53","Да","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:35:23","Нет","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","Длительное нахождение в другом месте ",""
"5/11/2024 18:37:11","Нет","Нет","В пределах России","Нет","","Необходимость экономии денег","",""
"5/11/2024 18:37:48","Да","Да","Оба варианта","Да","Собственная безопасность и уверенность, что мне могут помочь соотечественники в другой стране","","Совершенно неизвестная страна, страна, в которую я еду первый раз, страна, в которой страшно с медицинской помощью (США, например)","Не оформлял"
"5/11/2024 18:38:02","Нет","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","Вероятность опасных условий",""
"5/11/2024 18:38:28","Нет","Да","В пределах России","Нет","","Все будет хорошо) ","-",""
"5/11/2024 18:44:20","Нет","Да","В пределах России","Нет","","Доверие удаче","Угроза имуществу",""
"5/11/2024 18:48:27","Да","Нет","Оба варианта","Нет","","Доверие удаче, Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 18:55:56","Нет","Нет","Оба варианта","","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","низкая стоимость ",""
"5/11/2024 18:56:26","Да","Да","Оба варианта","Нет","","Доверие удаче, Жаль потраченных деньги в случае не наступления страхового случая","Наличие бонуса ",""
"5/11/2024 18:59:02","Нет","Нет","","","","","",""
"5/11/2024 19:07:07","Нет","Да","Оба варианта","Нет","","Необходимость экономии денег, Жаль потраченных деньги в случае не наступления страхового случая","",""
"5/11/2024 19:11:35","Да","Нет","","","","","",""
"5/11/2024 19:14:30","Нет","Да","За границей","Да","Хз, мама говорит надо","","",""
"5/11/2024 19:18:12","Да","Да","В пределах России","Нет","","Доверие удаче, Необходимость экономии денег","Бесплатность",""
"5/11/2024 19:25:58","Нет","Нет","","Нет","","","",""
"5/11/2024 19:29:34","Да","Да","В пределах России","Нет","","Необходимость экономии денег","",""
"5/11/2024 20:02:04","Нет","Да","В пределах России","Нет","","Жаль потраченных деньги в случае не наступления страхового случая","Ничего",""
